,Date Run,Ticker,Prediction Window,Lookback Window,Number of Estimators,Max Depth,Strategy Annual Return,Benchmark Annual Return,Active Annualized Return,Cumulative Returns,Sharpe Ratio,Sortino Ratio,Max Drawdown,Mean Squared Error,Baseline,Accuracy,Skill
0,2022-12-03,NJAN,63,252,2,3,-0.0340572173858161,-0.0115616587069352,-0.022495558678881,-5.62449545960143,-0.794964132324497,-0.972271146825182,-0.0842089550573083,5.66131884528274,0.336538461538462,0.576923076923077,0.240384615384615
0,2022-11-17,FM,63,252,2,3,-0.0339269698870559,-0.0123064245433616,-0.0216205453436943,-26.4812224573523,-0.25951039856879,-0.31752303695333,-0.514141124112638,10.281349515832,0.563504406428201,0.480041472265422,-0.0834629341627786
0,2022-12-03,BICK,63,252,2,3,-0.0338787489806903,-0.0226965634770514,-0.0111821855036389,-32.4560658213694,-0.152418277785249,-0.199636257051471,-0.48935688046254,13.4461227747549,0.509404388714734,0.422413793103448,-0.0869905956112853
0,2022-12-03,IYLD,63,252,2,3,-0.0338238834363465,-0.0339533730510352,0.000129489614688727,-27.6171066173684,-0.440891616450206,-0.518091835739514,-0.327809868975263,5.71802942523448,0.45219512195122,0.41609756097561,-0.0360975609756098
0,2022-11-17,EBND,63,252,2,3,-0.0338172287666102,-0.0398023139637519,0.00598508519714169,-30.2415467419771,-0.559045071476696,-0.685412088687781,-0.305919540323168,5.58601144440859,0.436018957345972,0.531667384747953,0.0956484274019819
0,2022-12-03,EDOW,63,252,2,3,-0.0337302375332347,0.0481648033149029,-0.0818950408481376,-13.0143879927298,-0.0954736436288794,-0.128853927812628,-0.337199699979208,9.80927670917023,0.588401697312588,0.523338048090523,-0.0650636492220651
0,2022-12-03,OUSM,63,252,2,3,-0.0336436882161455,0.0422422931719326,-0.0758859813880781,-14.7605427991384,-0.107399911616257,-0.141309451015746,-0.40216187924482,11.6856157541493,0.651920838183935,0.438882421420256,-0.213038416763679
0,2022-12-03,GSCE,63,252,2,3,-0.0336118342647597,-0.00280753404088674,-0.0308043002238729,-36.6700831520081,0.0392623278417275,0.050900178429802,-0.702157152179849,16.7008198434667,0.516393442622951,0.467540983606557,-0.0488524590163935
0,2022-12-03,PMAR,63,252,2,3,-0.0336049769071777,0.0311407696812576,-0.0647457465884352,-5.03680954573764,-1.23933413452148,-1.30240257026806,-0.0597302100019061,1.8304312301414,0.25,0.765625,0.515625
0,2022-12-03,FGM,63,252,2,3,-0.0334621439171541,-0.00968140073468238,-0.0237807431824717,-27.6949443925763,-0.175000325953018,-0.22347529393727,-0.536784645566839,12.0821167179812,0.514875239923225,0.500479846449136,-0.0143953934740884
0,2022-11-17,BSJN,63,252,2,3,-0.0333107308826297,-0.0190602661131742,-0.0142504647694555,-17.9430851637912,-0.564391112458694,-0.68313557029354,-0.254820353300123,4.15866133471237,0.477469670710572,0.390814558058925,-0.0866551126516465
0,2022-11-17,FIVG,63,252,2,3,-0.03329733723086,0.161879289699904,-0.195176626930764,-7.99405261407568,-0.220370780559998,-0.312666961807775,-0.187544727141025,11.3678316454452,0.343234323432343,0.462046204620462,0.118811881188119
0,2022-11-17,XLRE,63,252,2,3,-0.0330388715950671,0.0667699505243389,-0.099808822119406,-17.8521081911536,-0.0896334039915746,-0.11912315557276,-0.392797545929665,10.0993199596005,0.630397236614853,0.456822107081174,-0.173575129533679
0,2022-11-17,VXUS,63,252,2,3,-0.0329589204447066,0.0191900369223423,-0.0521489573670489,-29.7584460895333,-0.215935374165503,-0.278691657579204,-0.458079210717544,8.53280667897697,0.54424967935015,0.471141513467294,-0.073108165882856
0,2022-12-03,DIG,63,252,2,3,-0.0329431016890531,-0.0720296419169474,0.0390865402278943,-38.6298020780055,0.0977234273447915,0.129731004650602,-0.901292776209337,29.0733934320585,0.540226460071514,0.483909415971395,-0.0563170441001192
0,2022-11-17,IDV,63,252,2,3,-0.0329368565110689,-0.0230920869118332,-0.00984476959923575,-37.7367127419096,-0.141209213925788,-0.183791706586308,-0.489026634439362,9.98088703811839,0.520320197044335,0.475677339901478,-0.0446428571428572
0,2022-12-03,FDEV,63,252,2,3,-0.0329324662338385,-0.0191334963227321,-0.0137989699111064,-8.06754128614325,-0.456993812388004,-0.615484697355271,-0.123292096174302,7.79297242753993,0.164556962025316,0.493670886075949,0.329113924050633
0,2022-12-03,NUEM,63,252,2,3,-0.0328331610095611,-0.0169875066704186,-0.0158456543391425,-13.1587343319984,-0.1558490669716,-0.199820843976361,-0.324516996301972,13.9686476452963,0.433155080213904,0.366310160427807,-0.0668449197860963
0,2022-11-17,IXUS,63,252,2,3,-0.0327718186598186,0.00465888384898294,-0.0374307025088015,-25.4085341178564,-0.221322349673556,-0.283566975925782,-0.454045209474728,9.11999407738716,0.534736842105263,0.456842105263158,-0.0778947368421053
0,2022-12-03,ABEQ,63,252,2,3,-0.0326902035157638,0.0120953919466853,-0.0447855954624491,-5.23892112727372,-0.492027405338822,-0.638566774270507,-0.101606469072836,6.20042231415634,0.131868131868132,0.032967032967033,-0.0989010989010989
0,2022-12-03,ROKT,63,252,2,3,-0.0326696790690594,0.0231899722215407,-0.0558596512906001,-9.05367689988925,-0.287423231714169,-0.397747919236295,-0.168466802979503,8.66084997749872,0.419354838709677,0.518610421836228,0.0992555831265509
0,2022-12-03,DWAT,63,252,2,3,-0.0324424911279856,0.0249972613985292,-0.0574397525265148,-20.3445848244801,-0.133589739817613,-0.166168280037956,-0.477785878312246,9.10539068002761,0.659394792399719,0.562280084447572,-0.0971147079521464
0,2022-12-03,PNOV,63,252,2,3,-0.0322757056364086,0.0388044071553402,-0.0710801127917487,-5.8374927274651,-0.770872029665617,-0.94880085335588,-0.0709791109741178,4.26492318368662,0.468965517241379,0.206896551724138,-0.262068965517241
0,2022-12-03,SPFF,63,252,2,3,-0.032118386567733,-0.0381032726324216,0.00598488606468861,-25.7280457540199,-0.249654436013953,-0.316260205183929,-0.375513798911569,4.98131634937416,0.410813542193027,0.472460838807478,0.0616472966144517
0,2022-11-17,FDVV,63,252,2,3,-0.031953268296371,0.0811515784179022,-0.113104846714273,-14.7573540925743,-0.110481932993621,-0.144090926863991,-0.411061276125116,10.9491372529817,0.674620390455531,0.504338394793926,-0.170281995661605
0,2022-11-17,IEMG,63,252,2,3,-0.0319527718305881,-0.00222569968177155,-0.0297270721488165,-24.8510040491743,-0.149235680645842,-0.192750406209928,-0.455191668878814,11.1155512779536,0.5,0.445263157894737,-0.0547368421052631
0,2022-12-03,ECNS,63,252,2,3,-0.0316352085287955,0.0011813101386311,-0.0328165186674266,-29.5968137321117,-0.0645842298083325,-0.0895590004004919,-0.48461201424543,13.8046306718055,0.481101068200493,0.498767460969597,0.0176663927691044
0,2022-12-03,QEMM,63,252,2,3,-0.0315498295043458,-0.00680184621176072,-0.0247479832925851,-20.7186973328676,-0.191409537923929,-0.246235907160693,-0.440260826497185,8.94408778493138,0.495358090185676,0.470159151193634,-0.0251989389920424
0,2022-12-03,BAUG,63,252,2,3,-0.0314771310442578,0.050355045714245,-0.0818321767585027,-6.43414959913894,-0.457249625608277,-0.60705343204783,-0.0852620993742013,5.84665394850056,0.169082125603865,0.314009661835749,0.144927536231884
0,2022-12-03,UEVM,63,252,2,3,-0.0313217582690799,-0.0109821648921785,-0.0203395933769014,-11.5063919896687,-0.16299610485321,-0.212184694968606,-0.211970310583127,10.6664240688299,0.465437788018433,0.391705069124424,-0.0737327188940092
0,2022-12-03,PSP,63,252,2,3,-0.0312879184433078,-0.0619929575569476,0.0307050391136398,-37.6104206087316,-0.106545603363491,-0.138938627941168,-0.669686394028865,16.0938028363364,0.617002629272568,0.438796377446684,-0.178206251825884
0,2022-12-03,FEMS,63,252,2,3,-0.0311975353714166,-0.00441621725389407,-0.0267813181175225,-26.0646083564395,-0.147663651885601,-0.185926484399054,-0.503480456238204,13.3635889311694,0.50767754318618,0.414107485604607,-0.0935700575815739
0,2022-11-17,VGK,63,252,2,3,-0.0311215094991576,-0.000438870993553109,-0.0306826385056045,-40.505209536317,-0.120422526938107,-0.158453799637103,-0.521348517466125,13.0503277727393,0.535060177917321,0.494243851386709,-0.0408163265306122
0,2022-12-03,ISCF,63,252,2,3,-0.0309718213518748,0.0265362270996676,-0.0575080484515425,-18.0762760744696,-0.160924226001935,-0.203844276190883,-0.49211462447307,10.9625840512849,0.53046875,0.42578125,-0.1046875
0,2022-11-17,FDT,63,252,2,3,-0.0309699986989612,0.0181823111654502,-0.0491523098644114,-27.717220990019,-0.186522789177222,-0.237960787280379,-0.478519145323666,9.42187005647401,0.533070521243977,0.458169075777486,-0.0749014454664915
0,2022-12-03,FLCH,63,252,2,3,-0.0309614021638804,-0.0255714843832877,-0.00538991778059272,-11.3134830421279,-0.0972380770493636,-0.129777738163873,-0.31459153017748,13.8706723189668,0.412403100775194,0.615503875968992,0.203100775193798
0,2022-11-17,LQDH,63,252,2,3,-0.0309586429882346,-0.00479376016319799,-0.0261648828250366,-20.1784962011781,-0.570004921952174,-0.690633793700882,-0.29399738641959,3.59755165879645,0.559435862995299,0.48757555406313,-0.0718603089321693
0,2022-12-03,DGRE,63,252,2,3,-0.0309583506266309,-0.024580483441464,-0.00637786718516686,-22.4464972818083,-0.153777066126065,-0.197413636359959,-0.456044399418657,10.8045102355474,0.506395348837209,0.403488372093023,-0.102906976744186
0,2022-12-03,DOO,63,252,2,3,-0.0308319481994358,0.00121901772641464,-0.0320509659258504,-34.7947140615712,-0.155736742843076,-0.202978993415342,-0.426937665937252,8.43397924624487,0.528809218950064,0.44078104993598,-0.0880281690140846
0,2022-12-03,DGRS,63,252,2,3,-0.0305386606862441,0.0448256095170523,-0.0753642702032964,-22.222452090034,-0.0711963392425464,-0.095424366497942,-0.482811553889056,12.5459212055331,0.588985507246377,0.40231884057971,-0.186666666666667
0,2022-12-03,PAUG,63,252,2,3,-0.0305275759432276,0.0303885520979066,-0.0609161280411342,-6.24330136634198,-0.625454599999099,-0.826291126562612,-0.0719671139585653,3.70324714233903,0.183574879227053,0.36231884057971,0.178743961352657
0,2022-12-03,FFSG,63,252,2,3,-0.0304301207150305,0.0637217603625364,-0.0941518810775669,-11.1495176281985,-0.080018597810474,-0.106386905291472,-0.378680867562145,10.7169759997744,0.652241112828439,0.49613601236476,-0.156105100463679
0,2022-12-03,XWEB,63,252,2,3,-0.0303710128437196,0.0219438860186296,-0.0523148988623492,-14.7614422854499,-0.017416505543536,-0.0234361556086441,-0.477108411062128,22.0947350677954,0.468623481781377,0.553643724696356,0.0850202429149797
0,2022-12-03,RNDV,63,252,2,3,-0.0301442553947262,0.065784851053672,-0.0959291064483982,-12.0270112512649,-0.091269225326033,-0.123897293427702,-0.374448970872529,12.300934562829,0.605691056910569,0.481029810298103,-0.124661246612466
0,2022-12-03,BLHY,63,252,2,3,-0.0300413122962141,-0.0374785791551356,0.00743726685892154,-13.382919331989,-0.994959411889929,-1.1342915670939,-0.148853300186758,4.1672925755348,0.449425287356322,0.444827586206897,-0.00459770114942526
0,2022-12-03,DIVA,63,252,2,3,-0.0299837471473945,0.033103811922194,-0.0630875590695885,-17.0358855417025,-0.49835722898122,-0.61035447998945,-0.267505259985367,6.1243444773667,0.544344995931652,0.454027664768104,-0.0903173311635476
0,2022-12-03,GLIN,63,252,2,3,-0.0298928173397693,-0.0411231652839832,0.0112303479442138,-28.4087388359607,-0.113361666965611,-0.149327992436936,-0.478325503850787,18.8395357360795,0.532139951179821,0.421480878763222,-0.110659072416599
0,2022-12-03,RDOG,63,252,2,3,-0.029824966582254,0.0472811694634436,-0.0771061360456976,-33.0881807363124,-0.10164017489529,-0.131416024743095,-0.58341601587143,9.575820140329,0.615130492236538,0.464816650148662,-0.150313842087876
0,2022-11-17,VUSE,63,252,2,3,-0.0297291396490648,0.069682391104432,-0.0994115307534967,-20.4183001065609,-0.0921434648265013,-0.122395363290797,-0.551217789632425,11.4924750355374,0.640251572327044,0.492452830188679,-0.147798742138365
0,2022-11-17,INDY,63,252,2,3,-0.0296721478877162,0.0362319033731933,-0.0659040512609095,-29.7484808061154,-0.0914377689403693,-0.121542076369822,-0.533019775544009,12.138787631292,0.612438376943496,0.418657565415245,-0.193780811528252
0,2022-12-03,DMDV,63,252,2,3,-0.029602302832455,-0.101770862951292,0.0721685601188374,-7.9532923706886,-0.341583910008484,-0.447234840302125,-0.153549364603451,8.86222198144818,0.235449735449735,0.417989417989418,0.182539682539683
0,2022-12-03,DIVB,63,252,2,3,-0.0295092604546676,0.0930849359494623,-0.12259419640413,-10.7732584036195,-0.0553552003003944,-0.0742672012937756,-0.369284119286104,9.90905684568779,0.685358255451713,0.618380062305296,-0.0669781931464174
0,2022-11-17,EEMV,63,252,2,3,-0.0294769695939484,-0.00258702150728007,-0.0268899480866683,-25.4352556651794,-0.227559469316826,-0.292917300747002,-0.378098836387638,7.63496139856463,0.512296983758701,0.42737819025522,-0.0849187935034803
0,2022-12-03,UMAR,63,252,2,3,-0.0294311980624742,0.0100397741216651,-0.0394709721841393,-4.41603490927656,-1.52153140154396,-1.53941390852858,-0.0484032332558162,1.74479059178831,0.1875,0.84375,0.65625
0,2022-12-03,ULE,63,252,2,3,-0.0293622036567097,-0.089799499477663,0.0604372958209533,-31.6201849370981,-0.264834400618262,-0.356575308962496,-0.361254261507618,9.05276339956585,0.381429064549534,0.5001725923369,0.118743527787366
0,2022-12-03,PIN,63,252,2,3,-0.0293054784171475,0.0678970316625227,-0.0972025100796702,-33.0472238688684,-0.102427131946419,-0.131741554440085,-0.511007747686185,12.260578998509,0.549967553536664,0.416937053861129,-0.133030499675535
0,2022-12-03,DYNF,63,252,2,3,-0.0292065579568401,0.157650780830986,-0.186857338787826,-7.02225506709469,-0.26967236969302,-0.348598738758912,-0.186188703812894,10.4985820419526,0.28476821192053,0.526490066225166,0.241721854304636
